actual_headline,mt5_headline,mbart_headline,lstm_headline
ဘုံအကျိုးစီးပွားကို ကာကွယ်ရန် မြောက်ကိုရီးယားနှင့် တရုတ် သဘောတူ,မြောက်ကိုရီးယားနှင့် တရုတ်တို့ ထိပ်တန်းသံတမန်များ ဖြောင်းယန်းတွင် တွေ့ဆုံ,မြောက်ကိုရီးယားနှင့် တရုတ်ထိပ်တန်းသံတမန်များ တွေ့ဆုံ,မြောက်ကိုရီးယားနှင့်အမေရိကန်နှင့်ပူးပေါင်းဆောင်ရွက်ရန်ရန်တရုတ်ပြော
ရုရှားစစ်တပ် ဘလော့ဂါကို ဗုံးခွဲသတ်ဖြတ်ခဲ့သည့် ရုရှားအမျိုးသမီး ၁ ဦး ထောင်ဒဏ် ၂၇ နှစ် ချမှတ်ခံရ,ရုရှားစစ်တပ်ထောက်ခံသူ ဘလော့ဂါတာတာစကီး၏ လက်ထဲ ပေါက်ကွဲသည့် ဗုံးကို ပေးပို့သူ ဂါရ်ယာထရီပိုဗာ စိန့်စင်,ရုရှားစစ်တပ်ထောက်ခံသူ ဘလော့ဂါတာတာစကီး လက်ထဲ ပေါက်ကွဲပြီး သေဆုံးခဲ့သည့်ဗုံးပေးပို့သူကို စိန့်ခေါ်,ရုရှားသမီးအအအအအအအအအအအအအအအအ
အလာဘားမားပြည်နယ်၌ လူသတ်မှုဖြင့် သေဒဏ်ကျခံနေရသူကို နိုက်ထရိုဂျင်ဓာတ်ငွေ့ပေးပြီး သေဒဏ်စီရင်,အလာဘားမားတွင် လူသတ်မှုနှင့်သေဒဏ်ကျခံနေရသူ ကဲနက်သ် ယူဂျင်းစမစ်ကို နိုက်ထရိုဂျင်ဓာတ်ငွေ့ပေး,အလာဘားမားပြည်နယ်၌ လူသတ်မှုဖြင့် သေဒဏ်ကျခံနေရသူကို နိုက်ထရိုဂျင်ဓာတ်ငွေ့ပေးပြီး လူဒဏ်စီပေး,အမေရိကန်တွင်လူသတ်သတ်ဖြတ်မှုကြောင့်သေဆုံးသူ၁ဦးသေဆုံးဒဏ်ရာ
နိုင်ဂျီးရီးယားတွင် တိုက်ခိုက်မှုများဆက်တိုက်ဖြစ်ပြီး လူ ၃၀ ခန့်သေဆုံး,နိုင်ဂျီးရီးယားတွင် ညမထွက်ရအမိန့်ထုတ်ပြန်၊ အနည်းဆုံး လူ ၃၀ သေဆုံး,နိုင်ဂျီးရီးယားတွင် တိုက်ခိုက်မှုများဆက်တိုက်ဖြစ်ပြီး အနည်းဆုံး လူ ၃၀ သေဆုံး,နိုင်ဂျီးရီးယားတွင်တိုက်ပွဲတိုက်ခိုက်မှုကြောင့်လူ၁၀၀ကျော်သေဆုံး
အီကွေဒေါနိုင်ငံတွင် ဖမ်းဆီးရမိသည့် မူးယစ်ဆေးများကို ဘိလပ်မြေအဖြစ် ပြောင်းလဲ,အီကွေဒေါတွင် မူးယစ်ဆေးဝါး ကုန်ကူးမှုတိုက်ဖျက်ရေး ကြိုးပမ်းမှု တစိတ်တပိုင်းကို ရဲတပ်ဖွဲ့ သိမ်းဆည်းရမိ,အီကွေဒေါတွင် မူးယစ်ဆေးဝါး ကုန်ကူးမှုတိုက်ဖျက်ရေး ကြိုးပမ်းနေ,အီကွေဒေါတွင်မူးယစ်ဆေးဝါးဆေးဝါးများကိုဆေးဝါးများကိုဆေးဝါးများကို
မက္ကဆီကို၌ ပြန်ပေးဆွဲမှုများကြောင့် ကလေးများပါဝင်သည့် စေတနာ့ဝန်ထမ်း ရဲတပ်ဖွဲ့ ဖွဲ့စည်း,မက္ကဆီကိုတွင် အာယာဟွယ်လ်တမ်းပါး တောင်ပေါ်ကျေးရွာများ ပြန်ပေးဆွဲမှုကြောင့် အသက် ၁၂ နှစ်ခန့်ထိ ငယ်ရွယ်သည့် ကျောင်းသားကျောင်းသူများ အပါအဝင် စေတနာ့,မက္ကဆီကိုတွင် ပြန်ပေးဆွဲမှုများကြောင့် ၁၂ နှစ်အရွယ်ကလေးငယ်များ အပါအဝင် ကျောင်းသားကျောင်းသူများပါဝင်,မက္ကဆီကိုတွင်စစ်ကောင်စီတပ်ကလေးများကိုအဝင်များကိုအဝင်ဝင်
ဂါဇာသို့ အကူအညီများ မရောက်မချင်း အစ္စရေးသင်္ဘောများကို ဟူသီ တိုက်ခိုက်မည်,ဂါဇာရှိ သင်္ဘောများကို ပစ်မှတ်ထားတိုက်ခိုက်မည်ဟု ယီမင် ဟူသီခေါင်းဆောင်ပြော,ပါလက်စတိုင်းပြည်သူများထံ အကူအညီမရောက်မချင်း အစ္စရေးက သင်္ဘောများကို ပစ်မှတ်ထားတိုက်ခိုက်မည်,ဂါဇာအအအအအအအအအအအအအခိုက်
စီးပွားရေးဖွံ့ဖြိုးတိုးတက်မှု မြှင့်တင်နိုင်မည့်နည်းလမ်းရှာရန် ကင်မ်ဂျုံအန်း တိုက်တွန်း,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်း ပြည်သူများကို စားနပ်ရိက္ခာ ပံ့ပိုးပေးရန် ပျက်ကွက်,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်းက အခြေခံစားဝတ်နေရေး ပျက်ကွက်,အတိုးမြှင့်ရန်ရန်အတွက်အတိုးမြှင့်ရန်ရန်ရန်ရီးယားခေါင်းဆောင်ပြော
၁၆ နှစ်အောက် လူမှုကွန်ရက်မသုံးရ ဥပဒေကြမ်း ဖလော်ရီဒါ အောက်လွှတ်တော် အတည်ပြု,၁၆ နှစ်အောက် ကလေးသူငယ်များ လူမှုကွန်ရက်အသုံးပြုမှုတားမြစ်သည့် ဥပဒေကြမ်းကို ဖလော်ရီဒါအောက်လွှတ်တော် အတည်ပြု,ဖလော်ရီဒါပြည်နယ် အောက်လွှတ်တော်က လူမှုကွန်ရက် တားမြစ်ဥပဒေကြမ်း အတည်ပြု,၂၀၂နှစ်အအအအအအအအအအအဥပဒေအအ
ဟူသီသူပုန်များအားထိန်းရန် တရုတ်က အီရန်ကို ဖိအားပေး,အီရန်ကျောထောက်နောက်ခံပေးထားသည့် ဟူသီသူပုန်များ ပင်လယ်နီတွင် သင်္ဘောတိုက်ခိုက်နေ,အီရန်ကျောထောက်နောက်ခံပေးထားသည့် ဟူသီသူပုန်များ တိုက်ခိုက်ခံရ,အီရန်အကိုများကိုအရန်ရန်ရန်ရန်ရန်ရန်ရန်တိုက်တွန်း
Apple က အီးယူနိုင်ငံများတွင် ပြင်ပအက်ပ်စတိုးများ ခွင့်ပြုပေးမည်,အီးယူတွင် Apple ပစ္စည်းများ ပြင်ပအက်ပ်လီကေးရှင်းစတိုး အသုံးပြုခွင့်ပေးမည်,အီးယူနိုင်ငံများတွင် Apple က ပြင်ပအက်ပ်လီကေးရှင်းစတိုးများ ခွင့်ပြုပေးမည်,ယူကရိန်းပစ္စည်းများကပစ္စည်းများကိုပစ္စည်းများအပစ္စည်းများပြန်
ထရမ့်က ဘိုင်ဒင်ထက် လူထုထောက်ခံမှု အသာရနေဟု ရိုက်တာစစ်တမ်း ဖော်ပြ,ရီပတ်ဘလစ်ကန်သမ္မတလောင်းဖြစ်ရန် သမ္မတ ဂျိုးဘိုင်ဒင်ထက် ထောက်ခံမှု ၆ ရာခိုင်နှုန်း အသာရ,ဒေါ်နယ်ထရမ့်က ဘိုင်ဒင်ကို ထောက်ခံမှု အသာရနေ,ရီလီယံအအအအသသမ္မတဘိုင်ဒင်အသမ္မတဘိုင်ဒင်အ
ဂါဇာထိုးစစ် ရပ်ဆိုင်းရန် သင့်၊ မသင့် အိုင်စီဂျေတရားရုံးက ယနေ့ အမိန့်ချမည်,ဂါဇာစစ်ဆင်ရေး ရပ်ဆိုင်းရန် တောင်အာဖရိက တောင်းဆိုချက် လက်ခံရန် အစ္စရေးကို တိုက်တွန်း,ဂါဇာစစ်ဆင်ရေး ရပ်ဆိုင်းရန် အစ္စရေးတောင်းဆိုချက် လက်ခံရန် မသင့် ဇန်နဝါရီ,ဂါဇာအအအအအအအရန်အရန်အရန်အဆို
အာဂျင်တီးနား သမ္မတသစ်ကို အလုပ်သမားသောင်းချီ သပိတ်မှောက်,အာဂျင်တီးနားသမ္မတသစ် ဟာဗီးယားမီလေး၏ စီးပွားရေးခြိုးခြံချွေတာမှုအစီအစဉ်နှင့် ပြုပြင်ပြောင်းလဲမှုများကို ဆန့်ကျင်သည့် နိုင်ငံ၏အကြီးဆုံးအလုပ်သမားသမဂ္ဂ ဦးဆောင်မှု ဆွေးနွေး,အာဂျင်တီးနားသမ္မတသစ်၏ ပြုပြင်ပြောင်းလဲမှုများကို ဆန့်ကျင်ကန့်ကွက်,အာဂျင်တီးနားသမားသမားသမားသမားသမားသမားသမားများသ
စစ်တပ်နှင့်ပတ်သက်ပြီး မမှန်သတင်းဖြန့်သူ၏ ပိုင်ဆိုင်မှုသိမ်းခွင့်ပြုသည့် ဥပ‌ဒေ ရုရှား အတည်ပြု,ရုရှားစစ်တပ်က ပိုင်ဆိုင်မှုပစ္စည်းဥစ္စာများကို သိမ်းယူခွင့်ပြုသည့် ဥပဒေကြမ်း ပြင်ဆင်,ရုရှားစစ်တပ်နှင့်ပတ်သက်၍ မဟုတ်မမှန်သတင်းဖြန့်၊ ပိုင်ဆိုင်မှုပစ္စည်းများ သိမ်းယူခွင့်ပြု,စစ်တပ်ကအကိုအကိုအကိုအကိုအကိုအကိုအကိုအအအ
ခရုဇ်ဒုံးကျည်အသစ် စမ်းသပ်ပစ်လွှတ်ခဲ့သည့်ဓာတ်ပုံ မြောက်ကိုရီးယား ထုတ်ပြန်,မြောက်ကိုရီးယား မဟာဗျူဟာမြောက် ခရုဇ်ဒုံးကျည်အသစ် စမ်းသပ်ပစ်လွှတ်ခဲ့သည့် ဓာတ်ပုံကို KCNA ထုတ်ပြန်,ခရုဇ်ဒုံးကျည်အသစ် မြောက်ကိုရီးယား စမ်းသပ်ပစ်လွှတ်,မြောက်ကိုရီးယားဒုံးကျည်ဒုံးကျည်ဒုံးကျည်ပစ်ဒုံးကျည်ပစ်လွှတ်
ကော်သွားကြားထိုးတံများကို မစားသုံးကြရန် တောင်ကိုရီးယားတွင် သတိပေး,ကော်သွားကြားထိုးတံအချောင်းများကို ကြော်ပြီး အရသာမှုန့်ဖြူးစားရန် တောင်ကိုရီးယား ဆေးဝါးဘေးကင်းလုံခြုံ,တောင်ကိုရီးယားတွင် ကော်သွားကြားထိုးတံကို မသုံးကြရန် တိုက်တွန်း,မဗစ်-ယားကိုအရေးအတွက်အတောင်သူများကိုရီးယားအ
ဂါဇာရှိ စစ်ရှောင်ခိုလှုံရာနေရာ တိုက်ခိုက်ခံရမှု အမေရိကန် စိုးရိမ်,ဂါဇာတွင် စစ်ပြေးရှောင်သူများ ခိုလှုံနေသည့် ကုလလေ့ကျင့်ရေးစင်တာကို အမေရိကန် တိုက်ခိုက်,ကုလသမဂ္ဂ လေ့ကျင့်ရေးစင်တာကို အစ္စရေး တိုက်ခိုက်မှု အမေရိကန်စိုးရိမ်,ဂါဇာတွင်စစ်ရှောင်စခန်းများအအအအအအအအအ
သီရိလင်္ကာတွင် အွန်လိုင်း ဥပ‌ဒေကြမ်းကို ကန့်ကွက်ဆန္ဒပြ,သီရိလင်္ကာတွင် တက်ကြွလှုပ်ရှားသူများနှင့် အတိုက်အခံထောက်ခံသူများ အွန်လိုင်းအကြောင်းအရာများ ထိန်းညှိခြင်းဆိုင်ရာ ကိုလံဘိုမြို့တော်ရှိ ပါလီမန်ကို ကန့်ကွက်,သီရိလင်္ကာတွင် အွန်လိုင်းတက်ကြွလှုပ်ရှားသူများနှင့် အတိုက်အခံများ ဥပဒေကြမ်း,လီလီလီတွင်အအအအများအဆန္ဒပြ
ကိုလံဘီယာ နိုင်ငံခြားရေးဝန်ကြီး ရာထူးက ၃ လ ဆိုင်းငံ့ခံရ,ကိုလံဘီယာတွင် တင်ဒါလုပ်ငန်းစဉ် မမှန်မကန်လုပ်ဆောင်မှုဖြစ်နိုင်ဟု စစ်ဆေးရေးမှူးချုပ်ပြော,ကိုလံဘီယာတွင် တင်ဒါလုပ်ငန်းစဉ် မမှန်မကန်လုပ်ဆောင်မှု အရေးယူမည်,ကိုလံဘီယာနိုင်ငံခြားရေးဝန်ကြီးချုပ်ဟောင်းအယာယီယာယီအ
ပြင်သစ်တွင် လယ်သမားများက ကုန်ဈေးနှုန်းကျဆင်းရေး လမ်းပိတ်ဆို့ ဆန္ဒပြ,ပြင်သစ်လယ်သမားများ လမ်းပိတ်ဆို့ဆန္ဒပြ,ပြင်သစ် လယ်သမားများ လမ်းပိတ်ဆို့ဆန္ဒပြ,ပြင်သစ်သပိတ်သမားများသမားများသမားများဆန္ဒပြ
အမေရိကန်နှင့် ဗြိတိန်နိုင်ငံသားများ တလအတွင်းထွက်သွားရန် ဟူသီသူပုန် အမိန့်ပေး,ဟူသီအာဏာပိုင်များ အမေရိကန်နှင့် ဗြိတိန်ဝန်ထမ်းများကို နိုင်ငံတွင်းမှ ထွက်ခွာမည်,အမေရိကန်နှင့် ဗြိတိန်ဝန်ထမ်းများ တလအတွင်း နိုင်ငံတွင်းမှ ထွက်ခွာရန် ဟူသီတွင် တောင်းဆို,အမေရိကန်အအအအအအအအအအအအအအအအ
စိတ်ကြွဆေး ၁၂ သန်းသယ်ခဲ့သည့် ပြိုင်ကားမောင်းသမားကို ထိုင်းရဲက ပြိုင်ကားဖြင့် လိုက်လံ ဖမ်းဆီး,ထိုင်းမြောက်ပိုင်းတွင် မူးယစ်ဆေးပြားပေါင်း ၁၂ သန်း သယ်ဆောင်လာသည့် ပြိုင်ကားမောင်းသမား ၁ ဦး ဖမ်းဆီးခံရ,ထိုင်းနိုင်ငံတွင်း စိတ်ကြွမူးယစ်ဆေး ၁၂ သန်းသယ်လာသည့် ပြိုင်ကားမောင်းသမား ဖမ်းဆီးခံရ,ထိုင်းတောင်ပိုင်းတွင်ကားကားကားကားကားကားကားကားကားကားကားကိုထိုင်းရဲတပ်က
စစ်သုံ့ပန်းတင် လေယာဉ်ပျက်ကျမှု ရှင်းလင်းချက်ပေးရန် ရုရှားကို ယူကရိန်း တောင်းဆို,ရုရှားလေယာဉ်ပျက်ကျမှု အပြည့်အဝရှင်းလင်းပေးရန် ယူကရိန်းသမ္မတ တောင်းဆို,ယူကရိန်းသမ္မတက ရုရှားနယ်စပ်ဒေသအခြေအနေကို ရှင်းလင်းပေးမည်,ရုရှားသကိုရုရှားကိုရုရှားသမ္မတကရုရှားသမ္မတပြော
ဆော်ဒီတွင် နှစ်ပေါင်း ၇၀ တွင်း ပထမဆုံးအကြိမ် အရက်ဆိုင်ဖွင့်,ဆော်ဒီအာရေဗျတွင် အရက်အရောင်းဆိုင် ဖွင့်လှစ်မည်,ဆော်ဒီတွင် နှစ်ပေါင်း ၇၀ ကျော်အတွင်း ပထမဆုံးအကြိမ် အရက်ဆိုင်ဖွင့်မည်,ဆော်ဒီအအအအအအအအအအအအအအအအအအ
ဂါဇာရှိ စစ်ဘေးရှောင်များ ခိုလှုံရာနေရာကို အစ္စရေး ပစ်ခတ်ဟု ကုလစွပ်စွဲ,ဂါဇာက ကုလသမဂ္ဂဝင်းကို အစ္စရေးတင့်ကားပစ်ခတ်တိုက်ခိုက်မှုကြောင့် သေကျေထိခိုက်,ကုလသမဂ္ဂဝင်းကို အစ္စရေးတင့်ကားများ တိုက်ခိုက်,ဂါဇာရှိဟားမတ်စ်အအအအအအအအအအအအ
ဝမ် ၃ သန်းတန် လက်ကိုင်အိတ် လက်ခံမှုဖြင့် တောင်ကိုရီးယားသမ္မတကတော် ဝေဖန်ခံရ,တောင်ကိုရီးယားသမ္မတကတော် ကင်မ်ကွန်ဟီးက ကိုရီးယားဝမ် ၃ သန်း တန် Dior လက်ကိုင်အိတ်ကို လက်ဆောင်အဖြစ် လက်ခံယူ,ကိုရီးယားဝမ် ၃ သန်းတန် လက်ကိုင်အိတ် လက်ခံမှု တောင်ကိုရီးယားသမ္မတကတော် လျှို့ဝှက်လက်ခံ,ဝမ်ကိုရီးယားသမ္မတကိုကိုရီးယားသမ္မတကိုကိုကို
ယူကရိန်းအကျဉ်းသားများ တင်လာသည့် ရုရှား စစ်ဘက်လေယာဉ် ပျက်ကျ,ယူကရိန်းစစ်သုံ့ပန်းများ သယ်ယူပို့ဆောင်ရေးလေယာဉ် အီလ်ယူရှင်-၇၆ အကျဉ်းသားအလဲအလှယ်လုပ်မည်,ယူကရိန်းစစ်သုံ့ပန်းကို ရုရှားစစ်ဘက်သယ်ယူလေယာဉ်က အလဲအလှယ်လုပ်,ယူကရိန်းစစ်တပ်ကရိန်းယူကရိန်းယူကရိန်းယူကရိန်းယူ
ဗြိတိန်က ဟူသီသူပုန်အဖွဲ့ကို ပစ်မှတ်ထား ပိတ်ဆို့အရေးယူမှုအသစ်များ လုပ်မည်,ဗြိတိန်အစိုးရ ပင်လယ်နီတွင် သင်္ဘောများကို တိုက်ခိုက်နေသည့် ဟူသီများ ပိတ်ဆို့အရေးယူရန် စီစဉ်နေ,ဗြိတိန်က ပိတ်ဆို့အရေးယူမှုအသစ်များ ကြေညာရန် စီစဉ်နေ,ဗြိတိန်အလယ်အများကိုအများကိုအရန်အရန်အရန်အ
Future Forward Party ခေါင်းဆောင် ဖိထား iTV မီဒီယာအမှုမှ ကွင်းလုံးကျွတ်လွတ်,လွှတ်တော်အမတ်ဖြစ်ဟု FutureForward Party ခေါင်းဆောင် ထိမ်းဖိထား လိုမ့်ကျရွန်းရတ် တိုင်ကြားခံရ,Future Forward Party ခေါင်းဆောင် လိုမ့်ကျရွန်းရတ် လွှတ်တော်အမတ်ဖြစ်,FutureForwardပါတီခေါင်းဆောင်ဟောင်းဟောင်းဒီဒီလွှတ်တော်အမတ်အ
မွန်ဂိုလီးယားတွင် ဓာတ်ငွေ့တင်ကား ပေါက်ကွဲမီးလောင်ပြီး အနည်းဆုံး လူ ၆ ဦးသေဆုံး,မွန်ဂိုလီးယားတွင် သဘာဝဓာတ်ငွေ့ရည် တန်ချိန် ၆၀ တင်ဆောင်လာသည့် ထရပ်ကား ပေါက်ကွဲပြီး မီးသတ်သမား ၃ ဦးအပါအဝင် အနည်းဆုံး လူ ၁ ဦး အပါအဝင် သေဆုံး,မွန်ဂိုလီးယားတွင် သဘာဝဓာတ်ငွေ့ရည် တန်ချိန် ၆၀ တင်လာသည့်ကား ပေါက်ကွဲမီးလောင်,မော်လီးယားတွင်တွင်တွင်မီးလောင်ပေါက်ကွဲပြီးလောင်ပြီး၁ဦးသေဆုံး
နယူးဟမ့်ပ်ရှိုင်းယားပြည်နယ် သမ္မတလောင်း အကြိုရွေးကောက်ပွဲတွင် ထရမ့် အနိုင်ရ,ရီပတ်ဘလစ်ကန်သမ္မတလောင်း အကြိုရွေးကောက်ပွဲတွင် ဒေါ်နယ်ထရမ့် ဆက်လက် အနိုင်ရ,နယူးဟမ့်ပ်ရှိုင်းယားပြည်နယ် အကြိုရွေးကောက်ပွဲတွင် ဒေါ်နယ်ထရမ် အနိုင်ရ,နယူးလီလီအမ္မတရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲအရွေးကောက်ပွဲအကောက်
အကြွင်းမဲ့အောင်ပွဲရသည်အထိ တိုက်ပွဲဝင်မည်ဟု အစ္စရေးဝန်ကြီးချုပ်ပြော၊ ၁ လ အပစ်ရပ်ပြီး ဓားစာခံလဲလှယ်မည်,အစ္စရေးတပ်မတော်၏ ထိုးစစ်ဆင်တိုက်ခိုက်မှု အပြင်းထန်ဆုံး နေ့ရက်တရက် ကြုံတွေ့,အစ္စရေး ထိုးစစ်ဆင်တိုက်ခိုက်မှု အခက်ခဲဆုံးနေ့ရက် ဂါဇာတွင် ကြုံတွေ့,အစ္စရေးအအအအအအအအအအအအအအအပြော
ဆွီဒင် နေတိုးအဖွဲ့ဝင်ဖြစ်ရန် တူရကီ အတည်ပြု,ဆွီဒင်တွင် နေတိုးအဖွဲ့ဝင်ဖြစ်လာရေး တူရကီပါလီမန်တွင် အချေအတင်ဆွေးနွေး,ဆွီဒင် နေတိုးအဖွဲ့ဝင်ဖြစ်ရေး တူရကီ အတည်ပြု,ဆွီဒင်အအအအအအအအအအအအအအအအအအ
အက်ဆစ်ဖြင့်တိုက်ခိုက်ခံခဲ့ရသည့် တက်ကြွလှုပ်ရှားသူ ၁ ဦး ဖက်ရှင်မျက်နှာဖုံးရှင် ဖြစ်လာ,ဘယ်လ်ဂျီယံတွင် တက်ကြွလှုပ်ရှားသူ ပက်ထရစ်ရှာ လွေဖှုန့် တိုက်ခိုက်ခံရ,၁၅ နှစ်ခန့်က ဘယ်လ်ဂျီယံတွင် တက်ကြွလှုပ်ရှားသူ ပက်ထရစ်ရှာ,အမေရိကန်အမျိုးသားများ၏အရုပ်ရှင်အအအအအအအအ
ရှင်းကျန်းပြည်နယ်၌ အင်အားပြင်း ငလျင်ကြောင့် ၃ ဦးသေဆုံး၊ ၅ ဦး ဒဏ်ရာရ,တရုတ်နိုင်ငံတွင် ရှင်းကျန်းဝီဂါ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသရှိ အက်ခ်ဆုစီရင်စု ပြင်းအား ရစ်ချ်တာစက ပြိုကျ,တရုတ်တွင် ရစ်ချ်တာစကေး ၇ အဆင့်ရှိ မြေငလျင်လှုပ်,တရုတ်တွင်အင်အားနီးမြေငလျင်လှုပ်ပြီး၁ဦးသေဆုံး
ပြုံယမ်းရှိ တောင်-မြောက် ညီညွတ်ရေးအထိမ်းအမှတ် မုခ်ဦးကို မြောက်ကိုရီးယား ဖြိုချ,မြောက်ကိုရီးယားတွင် မုခ်ဦးကြီးကို ခေါင်းဆောင်ကြီး ကင်မ်ဂျုံအန်း အမိန့်ဖြင့် ဖြိုချ,မြောက်ကိုရီးယားမြို့တော် ပြုံယမ်းတွင် ညီညွတ်ရေးအထိမ်းအမှတ် မုခ်ဦးကြီး ဖြိုချခံရ,မြောက်ကိုရီးယားအအရေးအအအအအအအအအအအအအ
ရုရှားထောက်လှမ်းရေးများ အမေရိကန်ဘက်ပြောင်းရန် CIA ဆွဲဆောင်,အမေရိကန်အတွက် နှစ်ဖက်ချွန် သူလျှိုလုပ်ပေးရန် ရုရှားဘာသာစကားဖြင့် ပြောဆိုဆွဲဆောင်သည့် ဗီဒီယိုဖိုင် CIA ထုတ်လွှင့်,ရုရှားထောက်လှမ်းရေးများ အမေရိကန်ဘက်ပြောင်းရန် CIA ဆွဲဆောင်,ရုရှားအအအအအမေရိကန်ကိုအမေရိကန်ကိုအမေရိကန်
အီရတ်ရှိ ဟစ်ဇ်ဘိုလာနှင့်ဆက်နွှယ်သည့် အဆောက်အဦ ၃ ခုကို အမေရိကန် တိုက်ခိုက်,အီရတ်ရှိ ပြည်သူ့စစ် ကာတိုဘ်ဟစ်ဇ်ဘိုလာနှင့် ဆက်နွှယ်နေသည့် အဆောက်အအုံ ၃ ခုကို အမေရိကန် တိုက်ခိုက်,အီရတ်ရှိ အဆောက်အအုံ ၃ ခုကို အမေရိကန် တိုက်ခိုက်,အမေရိကန်တိုက်ခိုက်ခံရသည့်စစ်တပ်ကတိုက်ခိုက်ခံရ
အီရန်စစ်တပ်က ဒရုန်းအသစ်များ လက်ခံရရှိ,အီရန်စစ်တပ် ဒရုန်းအသစ်များ လက်ခံရရှိ,အီရန်စစ်တပ်က နိုင်ငံအတွင်း တာဝန်ထမ်းဆောင်ရန် ဒရုန်းအသစ်များ ရရှိ,အီရန်အတပ်ဖွဲ့ဝင်များကိုအဖွဲ့ဝင်
ဂျာမနီနှင့် ဗီယက်နမ် သမ္မတ ၂ ဦး တွေ့ဆုံ,ဂျာမနီသမ္မတ ဖရန့်ခ်ဝေါလ်တာစတိန်းမီးယားကို ဗီယက်နမ်သမ္မတ ကြိုဆို,ဂျာမနီသမ္မတနှင့် ဗီယက်နမ်သမ္မတတို့ တွေ့ဆုံ,ဂျာမနီသမ္မတသမ္မတသမ္မတပူတင်
ယူကရိန်းမြို့ကြီး ၂ မြို့ကို ရုရှား ဒုံးကျည်ပစ်ခတ်၊ လူ ၁၈ ဦးသေပြီး ၁၃၀ ကျော်ဒဏ်ရာရ,ယူကရိန်းမြို့ကြီး ၂ မြို့ကို ရုရှားဒုံးကျည်ပစ်ခတ်မှုကြောင့် လူ ၁၈ ဦးသေဆုံး၊ ၁၃၀ ကျော် ဒဏ်ရာရ,ယူကရိန်းမြို့ကြီး ၂ မြို့ကို ရုရှားဒုံးကျည်ပစ်ခတ်၊ လူ ၁၈ ဦးသေဆုံးပြီး ၁၃၀ ကျော်ဒဏ်ရာရ,ယူကရိန်းပစ်ခတ်မှုကြောင့်ရုရှားဒုံးကျည်ကျည်ကျည်၁၀၀ကျော်သေဆုံး
ယူနန်ပြည်နယ်တွင် မြေပြိုမှုကြောင့် သေဆုံးသူ အယောက် ၃၀ ကျော်ထိမြင့်တက်,ယူနန်တွင် မြေပြိုမှုကြောင့် သေဆုံးသူ ၃၁ ဦးရှိလာ,ယူနန်ပြည်နယ် မြေပြိုမှုကြောင့် သေဆုံးသူ ၃၁ ဦးရှိလာ,တရုတ်နိုင်ငံတွင်မြေပြိုပြိုကျပြီးအသူ၁၀၀ကျော်သေဆုံး
မြောက်ကိုရီးယားက ခရုဇ်ဒုံးကျည် အများအပြား ပစ်ခတ်,တောင်ကိုရီးယားက ခရုဇ်ဒုံးကျည်များ ပစ်ခတ်,မြောက်ကိုရီးယားက ခရုဇ်ဒုံးကျည် အများအပြား ပစ်ခတ်,မြောက်ကိုရီးယားကဒုံးကျည်ပစ်ခတ်ဒုံးကျည်ပစ်ခတ်
ဂါဇာပဋိပက္ခဖြေရှင်းရေး အဆိုပြုချက် ပယ်ချခဲ့သည့် အစ္စရေးကို ကုလအတွင်းရေးမှူးချုပ် ဝေဖန်,အစ္စရေး-ပါလက်စတိုင်းပဋိပက္ခ ဖြေရှင်းရေး နိုင်ငံ နှစ်နိုင်ငံ တည်ထောင်ရန် အဆိုပြုချက် ပယ်ချသည့် ကုလသမဂ္ဂ အတွင်းရေးမှူးချုပ် အန်တိုနီနီကို လက်မခံနိုင်,အစ္စရေး-ပါလက်စတိုင်းပဋိပက္ခ ဖြေရှင်းရေး အဆိုပြုချက် ပယ်ချသည့် ကုလအကြီးအကဲကို ဝေဖန်,ဂါဇာအအရေးအရေးအရေးအရေးအရေးအရေးအအအအအ
ဘရာဇီး၌ မိုးခေါင်ရေရှား သဲကန္တာရဖြစ်မှု အခြေအနေ ပိုဆိုးလာ,ဘရာဇီး မိုးနည်းရေရှားဒေသတွင် သဲကန်တာရများဖြစ်ထွန်းမှု အရှိန်မြှင့်လာ,တောင်အမေရိကတွင် မိုးခေါင်မှုကြောင့် လယ်မြေများသဲကန္တာရဖြစ်,အရာဇီးတွင်မိုးသည်းထန်ရေရေရေအအအအအအအအအအ
ဟားမတ်စ် အာဏာရစေမည့် အပစ်ရပ်စဲရေး အစ္စရေး သဘောမတူ,ဂါဇာတွင် ဟားမတ်စ်နှင့် အပစ်အခတ်ရပ်စဲရေးကို အစ္စရေး သဘောတူမည်မဟုတ်,ဟားမတ်စ်အာဏာရှိနေမည့်အခြေအနေ အစ္စရေး သဘောမတူ,ဟားမတ်စ်အပစ်ရပ်စဲရေးအအအအအအအအစ္စရေးအစ္စရေး
